References,Value,Footprint,Quantity Per PCB,Manufacturer,MPN,Alt Manufacturer,Alt MPN
C12 C16,20p,C_0603_1608Metric,2,Kemet,C0603C200J5HACTU,,
C28,47p,C_0603_1608Metric,1,TDK,C1608C0G1H470J080AA,,
C18 C35 C36 C37 C38 C39,10n,C_0603_1608Metric,6,Murata,GCM188R71H103KA37J,,
C6 C13 C14 C17 C19 C20 C26 C27 C31 C33,100n,C_0603_1608Metric,10,TDK,CGA3E2X7R1H104M080AA,,
C2 C3 C4 C5 C10 C15 C24 C30 C34,1u,C_0603_1608Metric,9,TDK,CGA3E1X7R1V105K080AC,,
C32,1.5u,C_0603_1608Metric,1,TDK,C1608X7R1A155K080AC,,
C1 C11 C25,4.7u,C_0805_2012Metric,3,Murata,GRM219R6YA475KA73D,,
C29,22u,C_0805_2012Metric,1,Murata,GRM21BC81C226ME44L,,
C7 C21,100u/35V,CP_Elec_6.3x7.7,2,Wurth Elektronik,865080545012,,
C8 C9 C22 C23,470u/35V,CPL_12.5_14,4,Wurth Elektronik,865060562009,,
D9,1N4148W,D_SOD-123,1,Diodes Incorporated,1N4148W-7-F,,
D10 D12,1SMA5936BT3G,D_SMA,2,Onsemi,1SMA5936BT3G,,
D1,BZX585-B10,D_SOD-523,1,Nexperia,"BZX585-B10,135",,
D3,ESDA25P35,D_0603_1608Metric,1,STMicroelectronics,ESDA25P35-1U1M,,
D2,ESDA25W,SOT-323_SC-70,1,STMicroelectronics,ESDA25W,,
D4,PACDN042Y3R,SOT-23-3,1,Onsemi,PACDN042Y3R,,
D6 D7,"PMEG4050EP,115",D_SOD-128,2,Nexperia,"PMEG4050EP,115",,
D8,"PMEG6010ER,115",D_SOD-123F,1,Nexperia,"PMEG6010ER,115",,
D5,RB501SM-30FHT2R,D_SOD-523,1,ROHM,RB501SM-30FHT2R,,
D11 D13,RF202LAM2STR,D_SOD-128,2,ROHM,RF202LAM2STR,,
FB1,600/100MHz,R_0603_1608Metric,1,Wurth Elektronik,742792651,,
J1,Barrel_Jack_Switch,BarrelJack_CUI_PJ-102AH_Horizontal,1,CUI Devices,PJ-102A,,
J5,Conn_ST_STDC14,PinSocket_2x07_P1.27mm_Vertical_SMD,1,Amphenol FCI,20021121-00014C1LF,,
J2 J3 J8,Out_{1} Out_{2} Footswitch,MJ63022A,3,CUI Devices,MJ-63022A,,
J4,USB_C_Receptacle_USB2.0,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,GCT,USB4105-GF-A,,
L1 L2,MSS1583-154KED,MSS1583,2,Coilcraft,MSS1583-154KED,,
L3,NRS5040T100MMGJ,L_Taiyo-Yuden_NR-50xx,1,Taiyo Yuden,NRS5040T100MMGJ,,
Q3 Q4,2N7002,SOT-23,2,Nexperia,2N7002NXAKR,,
Q2,SSM6J507NU,"TRANS_SSM6J507NU,LF",1,Toshiba,"SSM6J507NU,LF",,
Q1,SiA441DJ,Vishay_PowerPAK_SC70-6L_Single,1,Vishay Semiconductors,SIA441DJ-T1-GE3,,
R36 R46,0,R_0603_1608Metric,2,Panasonic,ERJ-3GEY0R00V,,
R23 R24,20,R_0603_1608Metric,2,Panasonic,ERJ-3EKF20R0V,,
R34 R44,22,R_0603_1608Metric,2,Panasonic,ERJ-3EKF22R0V,,
R11,100,R_0603_1608Metric,1,Panasonic,ERJ-3EKF1000V,,
R4,470,R_0603_1608Metric,1,Panasonic,ERJ-3EKF4700V,,
R16,953,R_0603_1608Metric,1,Panasonic,ERJ-3EKF9530V,,
R7 R12 R14 R27 R37 R47 R53,1k,R_0603_1608Metric,7,Panasonic,ERJ-3EKF1001V,,
R33 R43,1.62k,R_0603_1608Metric,2,Panasonic,ERJ-3EKF1621V,,
R15 R28,1.65k,R_0603_1608Metric,2,Panasonic,ERJ-3EKF1651V,,
R17 R20,4.7k,R_0603_1608Metric,2,Panasonic,ERJ-3EKF4701V,,
R13 R26,8.45k,R_0603_1608Metric,2,Panasonic,ERJ-3EKF8451V,,
R21 R35 R38 R39 R41 R45 R48 R49 R50 R51 R52,10k,R_0603_1608Metric,11,Panasonic,ERJ-3EKF1002V,,
R32 R42,13.3k,R_0603_1608Metric,2,Panasonic,ERJ-3EKF1332V,,
R10,18k,R_0603_1608Metric,1,Panasonic,ERJ-3EKF1802V,,
R30,40.2k,R_0603_1608Metric,1,Panasonic,ERJ-3EKF4022V,,
R1 R5 R6 R8 R9 R18 R19 R22 R25,100k,R_0603_1608Metric,9,Panasonic,ERJ-3EKF1003V,,
R31,124k,R_0603_1608Metric,1,Panasonic,ERJ-3EKF1243V,,
R29,499k,R_0603_1608Metric,1,Panasonic,ERJ-3EKF4993V,,
SW3,Handswitch W LED,D6RLxx,1,C&K,D6RLRDF1 LFS,,
SW1,Reset,SW_SPST_Omron_B3FS-101xP,1,Omron,B3FS-1012P,,
SW2,RotaryEncoder_Switch,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,Bourns,PEC11R-4220F-S0024,,
U6 U8,BTS6133D,TO-252-4,2,Infineon,BTS6133D,,
U7,DACx3202,WQFN-16-1EP_3x3mm_P0.5mm_EP1.68x1.68mm,1,Texas Instruments,DAC63202RTER,,
U2 U4,LM2576S-ADJ,TO-263-5_TabPin3,2,Onsemi,LM2576D2T-ADJR4G,,
U5,MP2456,TSOT-23-6,1,Monolithic Power Systems,MP2456GJ-Z,,
U9,OLED_Waveshare,OLEDs_Waveshare_4SPI,1,10451,Waveshare,Waveshare,9092
U3,STM32F103C8Tx,LQFP-48_7x7mm_P0.5mm,1,STMicroelectronics,STM32F103C8T6,,
U1,STUSB4500QTR,QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,1,STMicroelectronics,STUSB4500QTR,,
Y1,ABM3B-8.000MHZ-B2-T,Crystal_SMD_Abracon_ABM3B-4Pin_5.0x3.2mm,1,Abracon,ABM3B-8.000MHZ-B2-T,,
